FF,How many years of professional experience you have?,"On a scale from 1 to 10 (10 is high), how satisfied are you with your current job?",Whats your professional background?,"How many days, month, and/or years of experience you have in statistics (answer in day)?","How many days, month, and/or years of experience you have in programming (answer in day)?",How many days do you spend on entertainment each week?,How many days do you spend on studying each week?,Do you think that you put enough effort on your major?,How long do you spend reading extracurricular books each week?,In which country were you born?,In what month of the year were you born?,What is your current gross income per month in AUD from all sources?,Does the Statisticians lie regarding the datas?,What are the factors which depends on data visualization?,Is the data visualization as important as data analysis or cleaning?,"On a scale from 1 to 10 (10 is high), how satisfied are you with the available selection of units for this semester?","If you would be able to choose your own salary, what would it be?",What is your favourite colour?,What is your Street or Unit number?,"On a scale from 1 to 10 (10 is high), how satisfied are you with your high school life?",What is your eye colour?,How many pokemon (types) have you caught in Pokemon Go?,How many types of work experiences have you got?,What major did you do in your undergraduate?,"What degree do you do (i.e. Master of Data Science, Graduate of Data Science, or others)?",How experienced are you with statistics? (Beginner / familiar / experienced)?,Are you currently using statistics at work?,"Do you have professional parents? (1,1) (1,0), (0,0)",How tall are you?,How old are you?,Which industry do you want to work after the uni study?,How many countries have you visited?,How many countries have you lived in?,What language do you speak with your parents?,What mark you expect to get from this unit of study?,What is your favorite movie?,Do you like chocolate?,Do you prefer Tennis or Rugby?,Please guess of how many people have done STAT5002 in the current class?,Please guess of how many people have done R before in the current class?,Please guess what is the ratio of students with IT background?,Please guess what is the ratio of students with Maths and Stats background?,On a scale of 1-10 (10 is high) how do you view Trump as a global threat to world peace?,What is the age of your earliest memory?,How many countries will you be travelling to?,What is your target industry to work in?,What is the value of your current place of living?,On a scale of 1-10 (10 is high) how satisfied are you with your current place of living?,Which is your most familiar programming language or you heard the most frequently from others?,What is the age that you consider yourself to be independent?,What is your favourite number?
1,15,2,IT,0,0,7,0,Y,10,Australia,1,83333,Y,Colours and Shapes,Y,5, ,Red,36,4,Blue,0,5,Data Analysis and Network Communications,Master of Data Science,Beginner,Y,11,195,31,Aeronautics,12,0,English,HD,Charlie and the Chocolate Factory,Y,Tennis,15,16, , , ,2,12,Finance,800000,7,C#,18,7
2,10,8,Software Engineer,500,3700,1,1,Y,2,Ukraine,3, ,N, ,Y,6,300000,Blue,11,8,Brown,1, ,Computer Science,Master of Data Science,Familiar,Y,11,182,30,IT,7,2,Ukrainian,HD,The Godfather,Y,Tennis,30,30,0.7,0.3,7,1, , , ,9,C#,20,42
3,0,,Engineering,0,0,60,5,,0,China,6,0,D,no idea, ,1, ,Blue, ,7,Black,1,0,Engineering,Master of Data Science,Beginner, ,0,183,26,IT,3,2,Chinese, ,no idea, ,Tennis,1,1,0.2,0.2,1,4,3,IT, ,5,Java, , 
4,12,,IT,30,5475,3,4,Y,2,Peru,8,0,N,"Data quantity, Audience, Tools, Data quality",Y,5,120000,Green,106,8,Black, ,3,IT,Master of Data Science,Beginner,N,11,156,38,Transport,10,3,Spanish,D,Ratatouille,Y,Tennis,15,10,0.75,0.95,10,6, ,Transport, ,7,Java,17,1
5,4,9,Software Engineer,3650,3285,2,2,Y, ,New Zealand,5, ,Y,accessibility,Y,8, ,White,8,3,Brown,56,2,Computer Engineering,Electrical engineering,Familiar,N,0,164,25,Engineering,9,3,Mandarin, ,zootopia,N,Tennis,11,40,0.8,0.95, ,2, ,Technology, ,7,Python, ,11
6,9,8,Finance,730,4745,1,1, ,0,HK,3, ,Y,Software,Y,7,500000000,Blue,14,9,Brown,40,3,Computer Science,Master of Data Science,Familiar,N,0,NA, ,Research,10,2, ,HD,Batman,Y,Tennis,100,50,0.5,0.5, ,3, ,Research, ,9,C++,18,9
7,17,4,IT,730,6000,1,1,Y,2,Australia,5,5833,,,N,8,250000,Green,32,8,Blue,0,4,Computing Science,Master of Data Science,Familiar,Y,11,183,34,IT,30,1,English,D,v for vendetta,Y, ,0,40,0.7,0.4,10,5, ,IT,800000,9,R,16, 
8,30,1,IT,300,300,1,4,Y,10,Australia,2,0,N,ha?,Y,8,1000000,Green,9,8,Blue,0,3,Pure Mathematics,Master of Data Science,Familiar,N,0,208,52,ICT,50,3,English,HD,the godfather,Y,Rugby,10,10,0.9,0.3,9,3,10,IT,4500000,9,Python,25,9
9,10,7,Finance,3650,730,1,4,Y,2,Australia,12, ,D,Easy to read,Y,10, ,Blue, ,10,Blue,0,7,Math,Master of Data Science,Experienced,Y,11,170,31,Education, ,2,Polish,HD,Vanilla Sky, ,Tennis, , ,0.5,1,8,5, ,Education, ,8,Python,18,36
10,10,2,IT,730,1095,10,6,Y,3,,8,,N,Types of data,Y,7,100000,Purple,63,8,Brown,0,5,IT,Master of Data Science,Familiar,N,0,,,ACNP,8,2,,D,Avatar,Y,Tennis,40,50,0.6,0.5,9,4,,,,9,Python,21,8
